time,tavg,tmin,tmax,prcp,wspd
,12.6,9.0,17.4,2.0,
,12.3,6.0,20.0,0.0,
,14.8,NaN,23.4,NaN,
,14.4,8.3,23.4,0.0,
,13.9,11.0,17.4,0.0,
,14.9,NaN,NaN,0.0,
,12.3,9.0,16.7,5.1,
,9.2,7.0,13.0,41.9,
,8.1,3.9,14.0,4.1,
,10.6,3.3,19.0,0.0,
,13.4,4.8,19.4,0.0,
,12.6,6.6,18.5,0.0,
,14.6,7.2,20.0,0.0,
,16.1,8.6,20.5,0.0,
,13.3,NaN,NaN,2.0,
,15.0,6.0,25.2,0.0,
,16.4,5.9,28.2,0.0,
,17.6,8.8,27.6,0.0,
,15.4,NaN,NaN,0.0,
,14.0,NaN,21.2,0.0,
,13.6,6.8,21.6,0.0,
,12.9,6.7,19.2,0.0,
,13.9,7.2,NaN,0.0,
,12.4,10.9,17.0,1.0,
,11.5,7.3,16.0,1.0,
,10.1,7.0,13.9,0.0,
,9.1,6.7,13.3,10.9,
,9.2,2.7,17.0,0.5,
,10.0,4.0,17.0,0.0,
,10.7,4.0,18.0,0.0,
,11.6,5.0,20.2,0.0,
,15.8,4.3,21.2,2.0,
,14.9,9.9,20.4,0.0,
,18.7,10.9,24.8,13.0,
,16.7,14.0,20.9,0.5,
,16.0,11.6,23.0,1.0,
,16.1,8.0,25.2,0.0,
,16.6,7.7,27.0,0.0,
,15.6,6.8,21.5,0.0,
,13.6,10.6,17.6,0.0,
,12.4,6.9,17.2,1.0,
,14.3,9.0,20.4,0.0,
,13.6,11.0,19.9,0.0,
,13.8,11.0,16.6,0.0,
,13.5,9.0,18.0,5.1,
,14.2,12.0,18.5,7.1,
,13.3,9.0,20.3,0.5,
,15.3,11.1,19.0,4.1,
,15.0,NaN,NaN,2.0,
,11.7,NaN,15.6,10.9,
,11.2,6.8,15.0,6.1,
,13.9,11.0,17.0,7.1,
,16.1,11.7,20.7,6.1,
,15.8,11.2,22.2,0.0,
,15.7,10.9,21.0,0.0,
,17.1,NaN,NaN,0.0,
,18.4,9.9,29.0,0.0,
,25.3,16.0,33.1,0.0,
,15.1,12.6,20.2,3.0,
,14.1,8.0,20.5,2.0,
,16.0,7.2,20.2,3.0,
,12.7,8.0,NaN,13.0,
,12.6,NaN,NaN,0.0,
,15.3,9.5,NaN,0.0,
,14.6,11.6,19.0,0.0,
,14.4,10.8,19.0,9.9,
,15.3,9.7,21.3,0.0,
,16.2,9.4,20.2,3.0,
,13.6,9.2,19.1,6.1,
,15.4,10.9,20.5,0.0,
,15.6,12.3,19.6,1.0,
,13.1,10.5,17.4,0.0,
,12.9,5.9,20.2,0.0,
,14.7,6.1,23.0,0.0,
,16.9,8.4,25.4,0.0,
,19.7,9.0,29.6,0.0,
,21.7,16.9,30.0,0.0,
,21.6,12.9,30.0,0.0,
,20.7,12.6,27.4,0.0,
,20.1,14.0,28.0,0.0,
,17.6,11.9,25.4,0.0,
,19.9,11.9,28.4,0.0,
,17.3,11.9,24.9,0.0,
,17.1,11.5,NaN,0.0,
,17.9,12.0,25.0,0.0,
,19.1,12.0,29.0,0.0,
,23.2,NaN,31.4,NaN,
,19.9,12.2,27.2,0.0,
,16.9,11.6,24.2,0.0,
,14.7,11.0,22.2,0.0,
,15.1,9.5,22.5,0.0,
,16.4,9.5,24.2,0.0,
,17.2,9.6,27.0,0.0,
,16.6,9.8,23.0,0.0,
,18.4,9.6,NaN,0.0,
,17.9,11.3,NaN,0.0,
,18.6,11.5,27.0,0.0,
,20.9,12.0,30.2,0.0,
,23.4,12.3,31.1,0.0,
,21.8,15.6,30.0,0.0,
,18.6,12.7,26.1,0.0,
,17.9,13.3,24.0,0.0,
,17.9,12.8,24.7,0.0,
,19.9,12.8,28.8,0.0,
,19.2,12.7,27.1,0.5,
,17.9,12.5,23.4,0.0,
,17.7,NaN,NaN,NaN,
,17.7,12.4,24.0,NaN,
,20.4,12.8,27.2,NaN,
,21.8,14.5,31.5,NaN,
,20.6,NaN,NaN,NaN,
,18.7,NaN,23.7,NaN,
,20.6,NaN,27.0,NaN,
,20.9,14.0,29.2,NaN,
,21.7,15.0,28.0,NaN,
,25.0,15.8,34.7,0.0,
,28.3,19.8,NaN,NaN,
,28.8,NaN,37.2,NaN,
,27.6,20.4,35.7,NaN,
,26.3,NaN,NaN,0.0,
,22.4,16.1,29.6,0.0,
,21.9,14.9,30.0,0.0,
,19.6,15.3,NaN,0.0,
,18.8,NaN,NaN,0.0,
,19.1,NaN,27.5,0.0,
,17.4,9.6,26.6,0.0,
,17.8,10.9,25.4,0.0,
,19.3,11.5,27.3,0.0,
,19.7,11.7,27.0,0.0,
,20.1,13.2,26.5,0.0,
,19.1,15.0,25.1,0.0,
,17.4,NaN,NaN,0.0,
,16.7,12.9,21.5,0.0,
,15.9,10.5,NaN,0.0,
,19.4,NaN,27.4,0.0,
,23.2,13.0,33.2,0.0,
,20.3,12.9,31.5,0.0,
,22.8,13.1,33.4,0.0,
,27.4,13.9,35.3,0.0,
,28.2,20.6,38.4,0.0,
,26.3,17.9,32.7,0.0,
,21.8,14.5,31.4,0.0,
,20.7,14.2,29.3,0.0,
,19.7,12.7,28.8,0.0,
,21.8,13.1,31.0,0.0,
,23.0,15.3,31.0,0.0,
,19.3,15.3,24.1,0.0,
,21.3,15.7,27.3,0.0,
,23.1,NaN,NaN,0.0,
,26.6,14.2,NaN,0.0,
,29.3,17.0,37.6,0.0,
,30.4,20.8,NaN,0.0,
,29.8,21.0,38.2,0.0,
,28.1,18.9,36.2,0.0,
,29.2,19.5,NaN,0.0,
,27.3,18.0,38.0,0.0,
,25.4,NaN,NaN,0.0,
,23.8,15.7,33.2,0.0,
,22.4,15.0,NaN,0.0,
,21.1,16.0,28.0,NaN,
,18.4,16.0,20.3,NaN,
,19.5,14.7,NaN,0.5,
,20.8,NaN,NaN,0.0,
,20.8,16.0,27.0,NaN,
,21.9,15.0,29.0,NaN,
,23.1,15.8,31.3,0.0,
,23.5,14.6,NaN,0.0,
,22.9,16.4,30.0,0.0,
,22.7,15.5,31.0,0.0,
,22.7,15.5,30.2,0.0,
,21.6,14.2,29.8,0.0,
,21.4,14.7,NaN,0.0,
,23.7,15.7,32.8,0.0,
,25.3,17.5,34.0,0.0,
,23.2,16.8,31.6,0.0,
,22.0,14.7,30.6,0.0,
,21.0,15.6,28.3,0.0,
,23.2,15.7,30.3,0.0,
,24.7,16.8,33.1,0.0,
,25.9,NaN,34.3,0.0,
,25.8,18.0,35.0,0.0,
,26.5,18.6,NaN,0.0,
,24.9,17.8,33.0,0.0,
,24.6,17.9,30.0,0.0,
,24.3,17.9,29.8,0.0,
,23.9,18.0,32.5,NaN,
,25.9,18.0,34.2,NaN,
,28.8,20.7,NaN,0.0,
,29.8,21.7,39.4,0.0,
,33.1,25.5,41.4,0.0,
,35.2,26.9,45.2,0.0,
,34.9,25.4,44.5,9.9,
,34.4,25.0,42.8,0.0,
,30.2,21.7,39.5,0.0,
